title,store,original_price,current_price,unit_price,unit
"Kartupeļu čipsi CHIPSTERS, 100 g, trīs veidi (13,90 €/kg); (19,90 €/kg)",maxima.lv,,1.39,13.90,€/kg
"Gāzēts dzēriens FANTA vai SPRITE, 330 ml vai 350 ml, četri veidi (no 3,40 €/l)",maxima.lv,1.59,1.19,3.61,€/l
"Cūkgaļas karbonāde bez ādas, 1 kg",maxima.lv,5.99,3.49,3.49,€/kg
"Cāļa fileja SULĪGĀ RĪGAS MIESNIEKS, 1 kg, fasēta",maxima.lv,8.99,5.99,5.99,€/kg
"Biezpiena sieriņš KĀRUMS, 45 g, dažādi veidi (6,44 €/kg)",maxima.lv,0.52,0.29,6.44,€/kg
"Gāzētajiem dzērieniem PEPSI, 7UP, MIRINDA, MOUNTAIN DEW",maxima.lv,,,,
"Šķīstošā kafija NESCAFE CLASSIC STRONG, 250 g (23,96 €/kg)",maxima.lv,7.49,5.99,23.96,€/kg
"Saldējums EKSELENCE, 70 g, trīs veidi (9,86 €/kg); (25,57 €/kg)",maxima.lv,,0.69,9.86,€/kg
"Pilnpiena biezpiens BALTAIS, 180 g, 9% (3,83 €/kg)",maxima.lv,1.29,0.69,3.83,€/kg
"Burkāni, 1 kg",maxima.lv,0.69,0.35,0.35,€/kg
"Gaišās vīnogas SULTANA bez kauliņiem, 1 kg",maxima.lv,2.49,1.69,1.69,€/kg
"Melones VIDUSĀZIJAS, 1 kg",maxima.lv,1.19,0.79,0.79,€/kg
"Želejas konfektes AMOS PEELERZ, 55 g vai 65 g, MYSTERY CUBE vai zemeņu (no 22,92 €/kg)",maxima.lv,1.79,1.49,27.09,€/kg
"Želejas konfektes HI-CHEW, 55 g, vīnogu vai TROPICAL MIX (27,09 €/kg); (36,18 €/kg)",maxima.lv,,1.49,27.09,€/kg
"Želejas konfektes COKOC, 60 g, vīnogu vai persiku (24,83 €/kg); (33,17 €/kg)",maxima.lv,,1.49,24.83,€/kg
"Moči ROYAL FAMILY, 120 g, zemeņu siera kūka vai ar vaniļas krēmu (24,92 €/kg)",maxima.lv,4.29,2.99,24.92,€/kg
"Cepumi MACARONS GANGFU, 80 g, ar zemeņu vai Matcha garšu (16,13 €/kg)",maxima.lv,1.79,1.29,16.12,€/kg
"Cepumi ar vīnogu un persiku garšu OREO, 97 g (18,45 €/kg)",maxima.lv,2.99,1.79,18.45,€/kg
"Saldās nūjiņas PEPERO KIDS EDITION, 32 g vai 39 g, kraukšķīgās vai ar balto šokolādi (no 30,51 €/kg)",maxima.lv,1.59,1.19,37.19,€/kg
"Šokolāde BOURBON, 55 g vai 60 g, zemeņu vai ar Matcha (no 41,50 €/kg); (no 66,50 €/kg)",maxima.lv,,2.49,45.27,€/kg
"Želeja KONJAC TARAMI, 150 g, ar persiku vai vīnogu garšu (8,60 €/kg)",maxima.lv,1.99,1.29,8.60,€/kg
"Žāvēts mango FRUNICA, 500 g (9,98 €/kg)",maxima.lv,9.99,4.99,9.98,€/kg
"Jūraszāļu uzkoda, 1 iepak./3x 4 g, ORIGINAL vai BBQ (115,83 €/kg)",maxima.lv,1.99,1.39,347.50,€/kg
"Jūraszāļu uzkoda TAO KAE NOI, 3 g, ORIGINAL vai BBQ (163,33 €/kg)",maxima.lv,0.99,0.49,163.33,€/kg
"Jūras aļģu uzkoda TAO KAE NOI, 32 g, ORIGINAL vai ar japāņu mērci (74,69 €/kg)",maxima.lv,3.99,2.39,74.69,€/kg
"Lašu čipsi ZEN ZEN, 70 g, divi veidi (32,71 €/kg)",maxima.lv,3.49,2.29,32.71,€/kg
"Rīsu krekeri WANT WANT, 100 g, ar vistas un lociņu vai medus sinepju garšu (19,90 €/kg)",maxima.lv,2.99,1.99,19.90,€/kg
"Kraukšķīgas nūdeļu uzkodas ar Ramen garšu, 60 g, CURRY vai ORIGINAL (24,83 €/kg)",maxima.lv,2.49,1.49,24.83,€/kg
"Ātri pagatavojamās nūdeles SAMYANG, 70 g vai 80 g, vistas&siera vai Carbonara (no 24,88 €/kg)",maxima.lv,2.99,1.99,28.43,€/kg
"Ātri pagatavojamās nūdeles SAMYANG, 130 g vai 140 g, Carbonara vai vistas un siera Ramen (no 12,07 €/kg)",maxima.lv,1.99,1.69,13.00,€/kg
"Rīsu klimpas YOPOKKI, 120 g vai 140 g, Jangjang mērcē vai saldi asās (no 18,50 €/kg); (no 23,50 €/kg)",maxima.lv,,2.59,21.58,€/kg
Āzijas virtuves produktiem SANTA MARIA,maxima.lv,,,,
Āzijas virtuves produktiem un piederumiem FUDO,maxima.lv,,,,
Āzijas virtuves produktiem KIKKOMANN,maxima.lv,,,,
Ātri pagatavojamiem produktiem MAGGI ASIA,maxima.lv,,,,
Āzijas virtuves produktiem SEMPIO,maxima.lv,,,,
Ātri pagatavojamām nūdelēm NAMDONG,maxima.lv,,,,
Nūdeļu ēdieniem OYAKATA,maxima.lv,,,,
Ātri pagatavojamiem produktiem NONGSHIM,maxima.lv,,,,
"Grauzdēti zemesrieksti KHAO SHONG ar soju, 140 g (28,50 €/kg)",maxima.lv,6.15,3.99,28.50,€/kg
"Garneļu čipsi VIFON ar maigu garšu, 100 g (19,90 €/kg)",maxima.lv,2.29,1.99,19.90,€/kg
"Kartupeļu plāksnes LONGCHIPS, 75 g, ar vasabi vai saldais čili (9,20 €/kg); (10,53 €/kg)",maxima.lv,,0.69,9.20,€/kg
"Basmati rīsi CROWN OF HIMALAYA, 800 g (4,11 €/kg); (4,99 €/kg)",maxima.lv,,3.29,4.11,€/kg
"Vista ar rīsiem ASIA COOK, 400 g, divi veidi (9,98 €/kg)",maxima.lv,4.99,3.99,9.98,€/kg
"Uzkoda SPRING ROLLS ASIA COOK, 278 g, ar dārzeņiem vai vistu (8,24 €/kg)",maxima.lv,2.89,2.29,8.24,€/kg
"Mango kubiciņi vai dārzeņu maisījums BAUER, 300 g vai 400 g (no 3,73 €/kg); (no 4,73 €/kg)",maxima.lv,,1.49,4.97,€/kg
"Saldējums HÄAGEN-DAZS MATCHA, 400 g (14,98 €/kg); (23,23 €/kg)",maxima.lv,,5.99,14.98,€/kg
Želejas desertiem NANACO,maxima.lv,,,,
"Bao maizītes ar pīli hoisina mērcē VIČI, 270 g (9,59 €/kg); (14,78 €/kg)",maxima.lv,,2.59,9.59,€/kg
"Garneles NOWACO, 225 g, daļēji ceptas vai vārītas (15,51 €/kg); (26,62 €/kg)",maxima.lv,,3.49,15.51,€/kg
"Jūras velšu kokteilis GARDI ĒDIS, 400 g (15,98 €/kg); (23,23 €/kg)",maxima.lv,,6.39,15.98,€/kg
"Poke ar lasi, 350 g (10,26 €/kg)",maxima.lv,4.49,3.59,10.26,€/kg
"Wok ar olu nūdelēm un cāļa fileju, 350 g (9,40 €/kg)",maxima.lv,3.99,3.29,9.40,€/kg
"Sendvičs ar vistu un Čedaras sieru HOT RAMEN, 265 g (11,28 €/kg)",maxima.lv,3.79,2.99,11.28,€/kg
"Kimchi kāposti DONGWON, 160 g (15,56 €/kg)",maxima.lv,3.49,2.49,15.56,€/kg
"Jūras kāpostu salāti korejiešu gaumē, 200 g (6,45 €/kg); (8,95 €/kg)",maxima.lv,,1.29,6.45,€/kg
