title,store,original_price,current_price
Cepumi Selga Ar Iebiez.piena Garšu 180g,etop.lv,"1,19 € - 1,29 €",0.89
Kafija Malta Paulig In Cup 500g,etop.lv,"7,99 € - 8,89 €",6.99
Kafija Šķīstošā Nescafe Strong Metāla Bundžā 250g,etop.lv,"10,99 € - 12,99 €",7.49
Karbonāde Nākotne Karsti Kūp.fas. Sver.,etop.lv,"8,99 € - 9,69 €",6.99
Piens Alma 2.5% 1.5l,etop.lv,"1,37 € - 1,84 €",1.15
Saldējums Druva Cigoriņu Glāzītē 70g,etop.lv,"0,79 € - 0,89 €",0.59
Saldskābmaize Fazer Ierauga 500g,etop.lv,"2,12 € - 2,29 €",1.25
Sausās Brokastis Nestle Cini Minis 375g,etop.lv,"3,99 € - 4,49 €",2.99
Sausās Brokastis Nestle Nesquik 375g,etop.lv,"3,99 € - 4,49 €",2.99
Baltmaize Druva Zelta Mākoņmaize  450g,etop.lv,"1,19 € - 1,39 €",0.89
Barība Kaķiem Kons.friskies Gaļas Izlase 85gx4,etop.lv,"1,59 € - 1,69 €",1.19
Barība Kaķiem Kons.gourmet Gold Duo Liellops-vista 85g,etop.lv,"0,79 € - 0,99 €",0.49
Barība Suņiem Kons.pedigree Ar Cāli.dārzeņiem.liell. 100gx4,etop.lv,"2,79 € - 2,89 €",1.89
Biezpiena Sieriņš Alma Ar Aveņu Pildījumu 40g,etop.lv,"0,39 € - 0,49 €",0.25
Biezpiena Krēms Emma Mango 200g,etop.lv,"1,19 € - 1,39 €",0.89
Cepumi Siguldas Maiznieks Auzu Pārslu 300g,etop.lv,"2,69 € - 3,39 €",1.99
Čipsi Ādažu Ar Garšvielām Nr.1 130g,etop.lv,"2,09 € - 2,29 €",1.69
Čipsi Estrella Ar Aromātisku Diļļu Garšu 130g,etop.lv,"2,09 € - 2,29 €",1.69
D Dzēriens Pepsi Gāz.2l Pet,etop.lv,"2,89 € - 2,92 €",1.69
D Dzēriens Coca Cola Gāz. 850ml Pet,etop.lv,"1,69 € - 1,79 €",0.99
Cepumi Selga Ar Iebiez.piena Garšu 180g,etop.lv,"1,19 € - 1,29 €",0.89
Kafija Malta Paulig In Cup 500g,etop.lv,"7,99 € - 8,89 €",6.99
Kafija Šķīstošā Nescafe Strong Metāla Bundžā 250g,etop.lv,"10,99 € - 12,99 €",7.49
Karbonāde Nākotne Karsti Kūp.fas. Sver.,etop.lv,"8,99 € - 9,69 €",6.99
Piens Alma 2.5% 1.5l,etop.lv,"1,37 € - 1,84 €",1.15
Saldējums Druva Cigoriņu Glāzītē 70g,etop.lv,"0,79 € - 0,89 €",0.59
Saldskābmaize Fazer Ierauga 500g,etop.lv,"2,12 € - 2,29 €",1.25
Sausās Brokastis Nestle Cini Minis 375g,etop.lv,"3,99 € - 4,49 €",2.99
Sausās Brokastis Nestle Nesquik 375g,etop.lv,"3,99 € - 4,49 €",2.99
Baltmaize Druva Zelta Mākoņmaize  450g,etop.lv,"1,19 € - 1,39 €",0.89
Barība Kaķiem Kons.friskies Gaļas Izlase 85gx4,etop.lv,"1,59 € - 1,69 €",1.19
Barība Kaķiem Kons.gourmet Gold Duo Liellops-vista 85g,etop.lv,"0,79 € - 0,99 €",0.49
Barība Suņiem Kons.pedigree Ar Cāli.dārzeņiem.liell. 100gx4,etop.lv,"2,79 € - 2,89 €",1.89
Biezpiena Sieriņš Alma Ar Aveņu Pildījumu 40g,etop.lv,"0,39 € - 0,49 €",0.25
Biezpiena Krēms Emma Mango 200g,etop.lv,"1,19 € - 1,39 €",0.89
Cepumi Siguldas Maiznieks Auzu Pārslu 300g,etop.lv,"2,69 € - 3,39 €",1.99
Čipsi Ādažu Ar Garšvielām Nr.1 130g,etop.lv,"2,09 € - 2,29 €",1.69
Čipsi Estrella Ar Aromātisku Diļļu Garšu 130g,etop.lv,"2,09 € - 2,29 €",1.69
D Dzēriens Pepsi Gāz.2l Pet,etop.lv,"2,89 € - 2,92 €",1.69
D Dzēriens Coca Cola Gāz. 850ml Pet,etop.lv,"1,69 € - 1,79 €",0.99
Kefīrs Tip Top 2.5% 1kg,etop.lv,‌,0.89
Kafija Šķīstošā Nescafe Strong 3in1 14g,etop.lv,"0,49 € - 0,69 €",0.19
Zefīrs Demi Marshmallow Tapa Lapka 60g,etop.lv,"0,99 € - 1,19 €",0.69
Desiņas Bauska Hot Dog Ar Sieru Divpaka 810g,etop.lv,"3,59 € - 3,89 €",2.99
Zaļie Zirnīši Kronis 460g,etop.lv,"1,69 € - 1,89 €",1.29
Buljons Forevers Vistas Želejveida 800g,etop.lv,"2,09 € - 2,29 €",1.69
Jogurts Limbažu Piens Ābolu-banānu 320g,etop.lv,‌,0.69
Jogurts Limbažu Piens Mango-marakujas 320g,etop.lv,‌,0.69
Magoņu Sēklas Alis Co 150g,etop.lv,"1,29 € - 1,49 €",0.99
Čia Sēklas Alis Co 150g,etop.lv,"1,49 € - 1,69 €",1.09
Sezama Sēklas Alis Co 120g,etop.lv,"1,01 € - 1,21 €",0.71
Garšviela Maggi Carbonara Makaroniem 30g,etop.lv,‌,0.89
Konservi Tuncis Kaija Savā Sulā 160g,etop.lv,"3,39 € - 3,69 €",2.79
Biezpiena Sieriņš Magija Protein Šokolādes 40g,etop.lv,‌,0.49
Biezpiena Sieriņš Magija Ar Bārbeles Pild. 45g,etop.lv,‌,0.35
Ievārījums Tip Top Aveņu 360g,etop.lv,‌,2.09
Ievārījums Tip Top Ķiršu 360g,etop.lv,‌,2.09
Ievārījums Tip Top Meža Ogu 360g,etop.lv,‌,2.09
Ievārījums Tip Top Zemeņu 360g,etop.lv,‌,2.09
Biezpiena Krēms Emma Mango 200g,etop.lv,"1,19 € - 1,39 €",0.89
Biezpiena Krēms Emma Vaniļas 200g,etop.lv,"1,19 € - 1,39 €",0.89
Skūšanās Želeja Gillette Series Sensitive Cooling  200ml,etop.lv,"5,19 € - 5,59 €",4.49
Smiltis Kaķiem Tip Top Cementējošas 5l,etop.lv,‌,3.49
Saldskābmaize Latvijas Maiznieks Lielmaize Rupjā 600g,etop.lv,"1,69 € - 1,89 €",1.29
Porciju Maize Latvijas Maiznieks Lielmaize Rudzu Rikas 340g,etop.lv,"1,69 € - 1,89 €",1.29
Tostermaize Latvijas Maiznieks Lielmaize  600g,etop.lv,‌,0.99
Ziepes Palmolive Men Ice Blast 90g,etop.lv,"0,89 € - 1,09 €",0.59
