title,store,original_price,current_price,unit_price,unit,image_url
Āzijas virtuves produktiem KIKKOMANN,maxima.lv,,,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//azijas-virtuves-produktiem-kikkomann-00002-0922095110.png?1790059870
Āzijas virtuves produktiem SANTA MARIA,maxima.lv,,,,,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//azijas-virtuves-produktiem-santa-maria-00003-0922095110.png?1790059870
"Provansas majonēze FRANCIS, 250 g (3,16 €/kg); (5,16 €/kg)",maxima.lv,,0.79,3.16,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//provansas-majoneze-francis-00004-0922095110.png?1790059870
"Saldējums šokolādes glazūrā KARLSONS, 75 g, upeņu vai aveņu (6,53 €/kg)",maxima.lv,0.69,0.49,6.53,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//saldejums-sokolades-glazura-karlsons-00005-0922095110.png?1790059870
"Skābais krējums SMILTENE, 400 g, 20% (3,23 €/kg)",maxima.lv,1.69,1.29,3.22,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//skabais-krejums-smiltene-00006-0922095110.png?1790059870
"Atlantijas laša fileja ar ādu, 1 kg",maxima.lv,22.99,11.99,11.99,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//atlantijas-lasa-fileja-ar-adu-00007-0922095111.png?1790059871
"Gāzēts dzēriens COCA-COLA, FANTA vai SPRITE, 850 ml, četri veidi (0,93 €/l)",maxima.lv,1.69,0.79,0.93,€/l,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//gazets-dzeriens-coca-cola-fanta-vai-sprite-00008-0922095111.png?1790059871
"Kafijas pupiņas MERRILD, 1 kg, CREMA vai ARABICA",maxima.lv,16.89,13.99,13.99,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//kafijas-pupinas-merrild-00009-0922095111.png?1790059871
"Olīvu izspaidu eļļa LUGLIO, 1 l",maxima.lv,,2.99,2.99,€/l,https://www.maxima.lv/uploads/sale//olivu-izspaidu-ella-luglio-00010-0922095111.png?1790059871
"Konservētā kaķu bariba GOURMET GOLD, 85 g, četri veidi (4,59 €/kg); (5,29 €/kg); (11,18 €/kg)",maxima.lv,,0.39,4.59,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//konserveta-kaku-bariba-gourmet-gold-00011-0922095111.png?1790059871
"Jaunie kartupeļi, 1 kg",maxima.lv,0.45,0.25,0.25,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//jaunie-kartupeli-00012-0922095111.png?1790059871
"Gaišās lielās vīnogas ITALIA, 1 kg",maxima.lv,2.99,1.99,1.99,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//gaisas-lielas-vinogas-italia-00013-0922095111.png?1790059871
"Mandarīni MINEOLA, 1 kg",maxima.lv,1.99,1.69,1.69,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//mandarini-mineola-00014-0922095111.png?1790059871
"Želejas konfektes AMOS PEELERZ, 55 g vai 65 g, MYSTERY CUBE vai zemeņu (no 21,38 €/kg)",maxima.lv,1.79,1.39,25.27,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//zelejas-konfektes-amos-peelerz-00015-0922095111.png?1790059871
"Želejas konfektes HI-CHEW, 55 g, vīnogu vai TROPICAL MIX (27,09 €/kg); (36,18 €/kg)",maxima.lv,,1.49,27.09,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//zelejas-konfektes-hi-chew-00016-0922095111.png?1790059871
"Želejas konfektes COKOC, 60 g, vīnogu vai persiku (24,83 €/kg); (33,17 €/kg)",maxima.lv,,1.49,24.83,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//zelejas-konfektes-cokoc-00017-0922095112.png?1790059872
"Moči ROYAL FAMILY, 120 g, zemeņu siera kūka vai ar vaniļas krēmu (24,92 €/kg)",maxima.lv,4.29,2.99,24.92,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//moci-royal-family-00018-0922095112.png?1790059872
"Cepumi MACARONS GANGFU, 80 g, ar zemeņu vai Matcha garšu (16,13 €/kg)",maxima.lv,1.79,1.29,16.12,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//cepumi-macarons-gangfu-00019-0922095112.png?1790059872
"Cepumi ar vīnogu un persiku garšu OREO, 97 g (18,45 €/kg)",maxima.lv,2.99,1.79,18.45,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//cepumi-ar-vinogu-un-persiku-garsu-oreo-00020-0922095112.png?1790059872
"Saldās nūjiņas PEPERO KIDS EDITION, 32 g vai 39 g, kraukšķīgās vai ar balto šokolādi (no 30,51 €/kg)",maxima.lv,1.59,1.19,37.19,€/kg,https://www.maxima.lv/uploads/sale/2026/sales_page/09/22//saldas-nujinas-pepero-kids-edition-00021-0922095112.png?1790059872
