title,store,original_price,current_price,unit_price,unit,image_url
KEFĪRS TIP TOP 2.5% 1KG,etop.lv,,0.89,0.89,€/kg,https://cdn.etop.lv/products/4751023454320-328x328.png
KAFIJA ŠĶĪSTOŠĀ NESCAFE STRONG 3IN1 14G,etop.lv,0.49 € - 0.69 €,0.19,13.57,€/kg,https://cdn.etop.lv/products/8445292766784-328x328.png
KAFIJA ŠĶĪSTOŠĀ TIP TOP CAFFEE CREMA 150G,etop.lv,,5.99,39.93,€/kg,https://cdn.etop.lv/products/4751023454405-328x328.png
ZEFĪRS DEMI MARSHMALLOW TAPA LAPKA 60G,etop.lv,0.99 € - 1.19 €,0.69,11.50,€/kg,https://cdn.etop.lv/products/4820280823153-328x328.png
DESIŅAS BAUSKA HOT DOG AR SIERU DIVPAKA 810G,etop.lv,3.59 € - 3.89 €,2.99,3.69,€/kg,https://cdn.etop.lv/products/4750303026486-328x328.png
ZAĻIE ZIRNĪŠI KRONIS 460G,etop.lv,1.69 € - 1.89 €,1.29,2.80,€/kg,https://cdn.etop.lv/products/4750211400514-328x328.png
BULJONS FOREVERS VISTAS ŽELEJVEIDA 800G,etop.lv,2.09 € - 2.29 €,1.69,2.11,€/kg,https://cdn.etop.lv/products/4751003401481-328x328.png
SIERA DESA TIP TOP KAUSĒTA KŪPINĀTA 40% 330G,etop.lv,,2.59,7.85,€/kg,https://cdn.etop.lv/products/4751023454160-328x328.png
JOGURTS LIMBAŽU PIENS ĀBOLU-BANĀNU 320G,etop.lv,,0.99,3.09,€/kg,https://cdn.etop.lv/products/4750025003604-328x328.png
JOGURTS LIMBAŽU PIENS MANGO-MARAKUJAS 320G,etop.lv,,0.99,3.09,€/kg,https://cdn.etop.lv/products/4750025003611-328x328.png
MAGOŅU SĒKLAS ALIS CO 150G,etop.lv,1.29 € - 1.49 €,0.99,6.60,€/kg,https://cdn.etop.lv/products/4750195005057-328x328.png
